ID;PARENTID;TEXT;LINKTOPICTURE
279;264;Akcesoria do słuchawek;https://www.komputronik.pl/category/18687/akcesoria-do-sluchawek.html;null
280;264;Wzmacniacze audio;https://www.komputronik.pl/category/15580/wzmacniacze-audio.html;null
281;264;Aparaty słuchowe;https://www.komputronik.pl/category/18615/aparaty-sluchowe.html;null
282;234;Akcesoria RTV;https://www.komputronik.pl/category/15565/akcesoria-rtv.html;null
283;282;Adaptery;https://www.komputronik.pl/category/16573/adaptery.html;null
284;282;Adaptery Wi-Fi;https://www.komputronik.pl/category/15582/adaptery-wifi-smart-tv.html;null
285;282;Akcesoria do dyktafonów;https://www.komputronik.pl/category/8975/akcesoria-do-dyktafonow.html;null
286;282;Anteny;https://www.komputronik.pl/category/8104/anteny-telewizyjne.html;null
287;282;Apple TV;https://www.komputronik.pl/category/12519/apple-tv.html;null
288;282;Kable antenowe;https://www.komputronik.pl/category/16900/kable-antenowe.html;null
289;282;Kable audio;https://www.komputronik.pl/category/16590/kable-audio.html;null
290;282;Kable video;https://www.komputronik.pl/category/16591/kable-video.html;null
